Order," To do"," Day to finish"," Prerequisit to start"
1,Understand the project objectives and make sure you know all prerequisited information," 15/02/2026"," None"
2,"Search through all the 'to do' tasks ",""""," Finish previous steps "
3,Create the timeline in detail,"""",""""
4,"Create the folder and inside create files: main.js, timeline.csv, README.md, and license.txt on your own computer","""",""""
5,Turn the folder into a git repository and connect it to a remote created on GITHUB,"""",""""
6,Do your first commits with empty files and push it to the remote repository with clean files,"""",""""
7,"Inside the timeline.csv paste the timeline you have written earlier, commit it and push it.","""",""""
8,Decide on 3 different sentences in which you will only change a few words,"""",""""
9,"In js file, create an object named ""welcomeText","""",""""
10,"Inside this object, Create 3 properties. Each should be an array. Each should include the words that will be randomly selected and corresponding to each sentence. Use proper naming convention","""",""""
11,Create a method that takes 1 parameter that is an array and returns a random integer between 0(Included) and array length(Not inluded),"""",""""
12,Create 3 methods. Each will return the specific message. Name conveniently. They should use the integers created with the method stated earlier to index the array components(Again stated earlier). These will be called from outside to reach the messages included.,"""",""""
13,Create a global function called printWelcomeMessage. It should log all the messages in order.,"""",""""
14,Commit the js file after all tests.,"""",""""
15,Prepare the readme file and commit it,"""",""""
16,Prepare the license file with MIT license and commit it.,"""",""""
17,Push all the changes to the remote repository.,"""",""""
